level,english-word,chinese-translation,chinese-translation
1,diet,n. 日常饮食,vi. 节食
3,spaghetti,n. 意大利式细面条,
2,nut,n. 坚果; 果仁,
3,muscle,n. 肌肉; (食用)瘦肉,
3,protective,adj. 给予保护的; 保护的,
2,bean,n. 豆; 豆科植物,
2,pea,n. 豌豆,
2,cucumber,n. 黄瓜,
2,eggplant,n. 茄子,
2,pepper,n. 胡椒粉; 辣椒,
2,mushroom,n. 蘑菇,
2,peach,n. 桃子,
2,lemon,n. 柠檬,
1,balance,vt. 平衡; 权衡,n. 天平; 平衡
2,balanced diet,平衡膳食,
2,barbecue,vt. & n. 烧烤; 烤肉,
2,mutton,n. 羊肉,
3,kebab,n. (kabob)(印度)烤腌羊肉串; 肉串上的肉块,
2,roast,adj. 烤制的,vt. & vi. 烤; 烘; 烘烤
3,stir,vt. 摇动; 搅合,
1,fry,vt. & vi. 油煎; 油炸,
3,stir-fry,vt. 用旺火炒(或煎、煸),
1,ought,v. aux. 应当; 应该,
1,ought to,应当; 应该,
2,bacon,n. 熏咸肉; 腊肉,
3,cola,n. 可乐饮料,
3,sugary,adj. 含糖的; 甜的,
3,sign,n. 牌示; 标记; 符号,
1,lose weight,体重减轻; 减肥,
2,slim,vi. 变细; 减肥,adj. 苗条的; 纤细的
2,curiosity,n. 好奇心,
2,hostess,n. 女主人; 女主持人,
1,raw,adj. 生的; 未加工的,
2,vinegar,n. 醋,
1,get away with,受到从轻发落; (做坏事)不受惩罚,
2,lie,谎话; 谎言,vi. 说谎
1,tell a lie,说谎,
2,customer,n. 顾客; 消费者,
2,discount,n. 折扣,
1,win … back,赢回; 重新获得,
2,weakness,n. 缺点; 虚弱; 弱点,
1,strength,n. 强项; 长处; 力量,
1,consult,vt. 咨询; 请教; 商量,
2,fibre,n. 纤维; 纤维制品,
2,digest,vi. & vt. 笑话,n. 摘要; 概要
3,poisonous,adj. 有毒的,
2,carrot,n. 胡萝卜,
3,scurvy,n. 坏血病,
3,rickets,n. 佝偻病,
3,obesity,n. 过度肥胖,
3,vitamin,n. 维生素,
3,protein,n. 蛋白质,
1,earn one's living,谋生,
1,debt,n. 债; 债务,
1,in debt,欠债,
2,glare,vi. 怒目而视; 闪耀,n. 怒视; 炫目的光
2,spy,vi. & vt. 窥探; 秘密监视,n. 间谍; 侦探
2,spy on,暗中监视; 侦查,
1,limit,vt. 限制; 限定,n. 界限; 限度
2,limited,adj. 有限的,
1,benefit,n. 利益; 好处,vt. & vi. 有益于; 有助于; 受益
2,breast,n. 胸部; 乳房,
2,garlic,n. 大蒜,
2,sigh,vi. 叹息; 叹气,n. 叹息; 叹息声
1,combine,vt. & vi. (使)联合; (使)结合,
1,cut down,削减; 删节,
1,before long,不久以后,
1,put on weight,增加体重,
3,cooperation,n. 合作; 协作,
3,ingredient,n. (烹调用的)材料; 原料; 成分,
3,flavour,n. (食物的)味道与气味; 特性,
