level,english-word,chinese-translation,chinese-translation
2,astronomy,n. 天文学,
3 △,astronomer,n. 天文学家,
3 △,solar,adj. 太阳的; 日光的,
1,system,n. 系统; 体系; 制度,
2,solar system,太阳系,
2,religion,n. 宗教; 宗教信仰,
1,theory,n. 学说; 理论,
3 △,Big Bang,宇宙大爆炸; 创世大爆炸,
2,atom,n. 原子,
2,billion,pron. & n. & adj. <英>万亿; <美>十亿,
2,globe,n. 球体; 地球仪; 地球,
3 △,global,adj. 全球性的; 全世界的,
1,violent,adj. 猛烈的; 激烈的; 强暴的,
1,in time,及时; 终于,
2,carbon,n. 碳,
2,dioxide,n. 二氧化物,
2,carbon dioxide,二氧化碳,
3 △,nitrogen,n. 氮,
3 △,vapour,n. (=vapor) 蒸气; 水蒸气,
2,atmosphere,n. 大气层; 气氛,
1,unlike,prep. 与……不同; 不像,
2,fundamental,adj. 基本的; 基础的,
3 △,presence,n. 出席; 到场; 存在,
3 △,dissolve,vt. & vi. 溶解; 解散,
1,harmful,adj. 有害的,
2,acid,n. 酸,
2,chain,n. 链子; 连锁; 锁链,
3 △,reaction,n. 反应; 回应,
2,multiply,vi. & vt. 乘; 增加,
2,oxygen,n. 氧,
3 △,shellfish,n. 水生有壳动物,
3 △,amphibian,n. 两栖动物,
3 △,reptile,n. 爬行动物; 爬虫,
1,lay eggs,下蛋,
1,exist,vi. 存在; 生存,
3 △,mammal,n. 哺乳动物,
1,give birth to,产生; 分娩,
2,thus,adv. 因此; 于是,
1,in one's turn,轮到某人,
1,prevent … from,阻止; 制止,
1,puzzle,n. 谜; 难题,vt. & vi. (使)迷惑; (使)为难
2,biology,n. 生物学,
2,biologist,n. 生物学家,
2,gravity,n. 万有引力; 重力,
2,satellite,n. 卫星; 人造卫星,
2,gentle,adj. 温和的; 文雅的,
3 △,geologist,n. 地质学家,
2,physicist,n. 物理学家,
2,block out,挡住(光线),
3 △,extinct,adj. 灭绝的; 绝种的,
2,climate,n. 气候,
3 △,comet,n. 彗星,
2,crash,vi. & vt. 碰撞; 坠落,
3 △,Isaac Newton,艾萨克•牛顿(英国科学家),
3 △,Albert Einstein,阿尔伯特•爱因斯坦(德裔美国科学家),
3 △,Stephen Hawking,斯蒂芬•霍金(英国科学家),
2,spaceship,n. 宇宙飞船,
1,pull,n. & vt. 拉(力); 拖; 牵引力,
3 △,lessen,vi. & vt. 减少; 减轻,
1,cheer up,感到高兴; 感到振奋,
2,float,vi. & vt. (使)浮动; (使)漂浮,n. 漂浮物
3 △,weightlessly,adv. 失重地,
3 △,cabin,n. 小屋; 船舱,
1,now that,既然,
3 △,get the hang of,熟悉; 掌握; 理解,
1,break out,突发; 爆发,
3 △,exhaust,vt. 用尽; 耗尽; 使筋疲力尽,
1,watch out for,密切注意; 当心; 提防,
