level,english-word,chinese-translation,chinese-translation,chinese-translation
3,cultural,adj. 文化的,,
3,relic,n. 遗物; 遗迹; 纪念物,,
2,rare,adj. 稀罕的; 稀有的; 珍贵的,,
2,valuable,adj. 贵重的; 有价值的,,
1,survive,vi. 幸免; 幸存; 生还,,
2,vase,n. 花瓶; 瓶,,
2,dynasty,n. 朝代; 王朝,,
3,Taj Mahal,泰姬陵,,
3,ivory,n. 象牙,,
3,dragon,n. 龙,,
3,amber,n. 琥珀; 琥珀色,,
1,in search of,寻找,,
3,Frederick William I,腓特烈•威廉一世(普鲁士国王),,
3,Prussia,n. (史)普鲁士,,
2,amaze,vt. 使吃惊; 惊讶,,
2,amazing,adj. 令人吃惊的,,
1,select,vt. 挑选; 选择,,
2,honey,n. 蜜; 蜂蜜,,
1,design,n. 设计; 图案; 构思,vt. 设计; 计划; 构思,
1,fancy,adj. 奇特的; 异样的,vt. 想象; 设想; 爱好,
2,style,n. 风格; 风度; 类型,,
1,decorate,v. 装饰; 装修,,
2,jewel,n. 珠宝; 宝石,,
2,artist,n. 艺术家,,
2,belong,vi. 属于; 为……的一员,,
1,belong to ,属于,,
3,Peter the Great,彼得大帝(俄国皇帝),,
1,in return,作为报答; 回报,,
3,Czar,n. 沙皇,,
2,troop,n. 群; 组; 军队,,
3,St Petersburg,n. 圣彼得堡(俄罗斯城市),,
2,reception,n. 接待; 招待会; 接收,,
3,Catherine II,叶卡捷琳娜二世(俄国女皇),,
1,at war,处于交战状态,,
1,remove,vt. 移动; 搬开,,
1,less than,少于,,
2,wooden,adj. 木制的,,
1,doubt,n. 怀疑; 疑惑,vt. 怀疑; 不信,
3,Konigsberg,n. 哥尼斯堡(俄罗斯港市 Kaliningrad 的旧称),,
3,the Baltic Sea,波罗的海,,
3,mystery,n. 神秘; 神秘的事物,,
2,former,adj. 以前的; 从前的,,
1,worth,prep. 值得的; 相当于……的价值,n. 价值; 作用,adj. [古]值钱的
3,rebuild,vt. 重建,,
2,local,adj. 本地的; 当地的,,
2,apart,adv. 分离地; 分别地,,
1,take apart,拆开,,
3,Leningrad,n. 列宁格勒(苏联城市),,
2,painting,n. 绘图; 画,,
2,castle,n. 城堡,,
3,Windsor Castle,温莎城堡(英国著名城堡),,
2,trial,n. 审判; 审讯; 试验,,
3,eyewitness,n. 目击者; 证人,,
2,evidence,n. 根据; 证据,,
3,Jan Hasek,简•哈兹克(男名),,
3,Czech Republic,捷克共和国(东欧国家),,
1,explode,vi. 爆炸,,
2,entrance,n. 入口,,
3,Hans Braun,汉斯•布朗(男名),,
2,sailor,n. 水手; 海员; 船员,,
1,sink,"vi. (sank, sunk; sunk, sunken)下沉; 沉下",,
3,Anna Petrov,安娜•帕特罗夫(女名),,
2,maid,n. 少女; 女仆,,
3,Berlin,n. 柏林(德国首都),,
1,think highly of ,着重; 器重,,
3,Johann Webber,约翰•韦伯(男名),,
2,informal,adj. 非正式的,,
2,debate,n. 争论; 辩论,vi. 争论; 辩论,
