level,english-word,chinese-translation,chinese-translation
3,poetry,n. 诗(总称); 诗意,
2,tick,vt. 给……标记号,
2,rhyme,n. 韵; 押韵; 押韵的词,vi. & vt. (使)押韵
2,convey,vt. 传达; 运送,
3,emotion,n. 情感; 情绪; 感情,
2,nursery,n. 托儿所,
2,nursery,童谣,
1,concrete,adj. 具体的,
3,repetition,n. 重复; 反复; 循环,
2,contradictory,adj. 引起矛盾的; 好反驳的,
3,hush,vi. & vt. (使某人)安静下来,
3,mockingbird,"n. 嘲鸫(一种鸟, 能模仿其他鸟的叫声)",
2,diamond,n. 钻石; 菱形,
3,brass,n. 黄铜; 黄铜器,
3,billy-goat,n. 公山羊,
1,flexible,adj. 灵活的; 可弯曲的; 柔顺的,
2,pattern,n. 模式; 式样; 图案,
3,squire,n. 乡绅,
2,cottage,n. 村舍; 小屋,
3,coffin,n. 棺材,
2,sparrow,n. 麻雀,
3,kitten,n. 小猫,
1,take it easy,轻松; 不紧张; 从容,
1,run out of,用完,
3,cinquain,n. 五行诗,
1,be made up of,由……构成,
2,tease,vi. & vt. 取笑; 招惹; 戏弄,
2,salty,adj. 含盐的; 咸的,
3,droop,vi. 低垂; 凋萎; 萎靡,
3,dread,vi.& vt. 害怕,
2,endless,adj. 无穷的; 无止境的,
3,haiku,n. 俳句,
3,syllable,n. 音节,
2,minimum,n. 最低限度; 最少量; 最小数,
2,translation,n. 翻译; 译文,
2,branch,n. 枝条; 支流; 部门,
3,melt,"(melted; melted,molten) vi. 融化; 溶化; 软化",
3,brimful,adj. 盈满的; 满到边际的,
1,in particular,尤其; 特别,
1,eventually,adv. 最后; 终于,
,await,vt. 等候; 期待,
1,transform,vi. & vt. 转化; 转换; 改造; 变换,
3,revolve,vi. & vt. (使)旋转,
3,utter,vt. 说; 讲; 发出(声音),
2,sorrow,n. 悲伤; 悲痛; 懊悔,
2,bare,adj. 赤裸的; 光秃的; 稀少的,n. 最基本的要素
2,librarian,n. 图书馆馆长; 图书馆管理员,
2,forever,adv. 永远,
1,trunk,n. 树干; 象鼻; 后备箱,
3,cement,n. 水泥,
2,section,n. 部分; 节; 切下的块,
1,appropriate,adj. 适当的; 正当的,
1,exchange,n. 交换; 交流; 互换,vt. & vi. 调换; 交换
2,diploma,n. 毕业文凭; 学位证书,
1,sponsor,n. 赞助人; 主办者; 倡议者,vt. & vi. 发起; 举办; 倡议
2,blank,n. 空白,adj. 空白的; 茫然的
2,compass,n. 指南针; 罗盘; (复数)圆规,
2,bride,n. 新娘,
2,bridegroom,n. 新郎,
2,championship,n. 冠军称号,
3,rhythmic,adj. 有节奏的; 有规律的,
2,darkness,n. 黑暗; 漆黑,
2,warmth,n. 暖和; 温暖,
1,try out,测试; 试验,
2,scholarship,n. 奖学金; 学问; 学术成就,
2,pianist,n. 钢琴家; 钢琴演奏者,
2,violinist,n. 小提琴演奏者,
1,let out,发出; 放走,
2,load,n. 负担; 负荷物(尤指沉重的),
