level,english-word,chinese-translation,chinese-translation
2,unite,vi. & vt. 联合; 团结,
2,kingdom,n. 王国,
1,consist,vi. 组成; 在于; 一致,
1,consist of,由……组成,
3,London Heathrow Airport,伦敦希思罗机场,
2,province,n. 省; 行政区,
3,River Avon,埃文河,
3,River Thames,泰晤士河,
3,River Severn,塞文河,
1,divide … into,把……分成,
3,Wales,威尔士(英),
3,Scotland,苏格兰(英),
3,Northern Ireland,北爱尔兰(英),
2,clarify,vt. 澄清; 阐明,
2,accomplish,vt. 完成; 达到; 实现,
2,conflict,n. 矛盾; 冲突,
2,unwilling,adj. 不愿意(的); 不乐意(的),
1,break away (from),挣脱(束缚); 脱离,
2,union,n. 联合; 联盟; 结合; 协会,
3,the Union Jack,英国国旗,
2,credit,n. 信任; 学分; 赞扬; 信贷,
1,to one's credit,为……带来荣誉; 值得赞扬; 在……名下,
2,currency,n. 货币; 通货,
2,institution,n. 制度; 机制; 公共机构,
3,educational,adj. 教育的,
2,convenience,n. 便利; 方便,
2,rough,adj. 粗糙的; 粗暴的,
2,roughly,adv. 粗略地; 粗糙地,
3,Midlands,英格兰中部地区(英),
2,nationwide,adj. 全国性的; 全国范围的,
1,attract,vt. 吸引; 引起注意,
3,historical,adj. 历史(上)的; 有关历史的,
2,architecture,n. 建筑学; 建筑艺术,
3,Roman,n. (古)罗马人,adj. (古)罗马的
2,collection,n. 收藏品; 珍藏; 收集,
2,administration,n. 管理; 行政部门,
2,port,n. 港口(城市),
3,Anglo-Saxon,n. 盎格鲁-撒克逊人,adj. 盎格鲁-撒克逊人的
3,Norman,n. 诺曼人; 诺曼语,adj. 诺曼的; 诺曼人(语)的
3,Viking,n. 北欧海盗; 斯堪的纳维亚人,
2,countryside,n. 乡下; 农村,
2,enjoyable,adj. 令人愉快的; 使人高兴的,
1,leave out,省去; 遗漏; 不考虑,
3,opportunity,n. 机会; 时机,
2,description,n. 描写; 描述,
2,furnished,adj. 配备好装备的; 带家具的,
2,fax,n. 传真(机),vt. 用传真传输(文件)
2,possibility,n. 可能(性),
2,plus,prep. 加上; 和,adj. 加的; 正的; 零上的
2,quarrel,n. 争吵; 争论; 吵架,vi. 争吵; 吵架
2,alike,adj. 相同的; 类似的,
1,take the place of,代替,
1,break down,(机器)损坏; 破坏,
1,arrange,vt. 筹备; 安排; 整理,
2,wedding,n. 婚礼,
1,fold,vt. 折叠; 对折,
2,sightseeing,n. 观光; 游览,
1,delight,n. 快乐; 高兴; 喜悦,vt. 使高兴; 使欣喜
2,royal,adj. 王室的; 皇家的; 高贵的,
2,uniform,n. 制服,
3,St Paul's Cathedral,圣保罗大教堂,
2,splendid,adj. 壮丽的; 辉煌的; 极好的,
3,Westminster,威斯敏斯特教堂(英国名人墓地),
2,statue,n. 塑像; 雕像,
3,Buckingham,白金汉宫,
3,Greenwich,n. 格林尼治(英城市),
3,longitude,n. 经线; 经度,
3,imaginary,adj. 想象中的; 假想的; 虚构的,
3,navigation,n. 导航; 航行,
3,Highgate Cemetery,"海格特墓地(英伦敦北郊,内有马克思及其家人的坟墓)",
2,communism,n. 共产主义,
3,original,adj. 最初的; 原始的; 独创的; 新颖的,
2,thrill,vt. 使激动; 使胆战心惊,
2,pot,n. 罐; 壶,
2,error,n. 错误; 过时; 谬误,
2,tense,n. 时态,
2,consistent,adj. 一致的,
