level,english-word,chinese-translation,chinese-translation
3,Pygmalion,n. 皮格马利翁（希腊神话）,
3,George Bernard Shaw,乔治•伯纳德•萧（也译萧伯纳，英国剧作家）,
2,adaptation,n. 适应（性）；改编本,
2,classic,adj. 经典的；第一流的,n. 经典著作
2,caption,n. （图片上的）说明文字；（电视、电影）字幕；（杂志等文章的）标题；题目,
2,plot,n. 情节；阴谋,
2,professor,n. 教授,
3,Higgins,希金斯（姓）,
3,phonetics,n. 语音学,
3,colonel,n. （陆军）上校,
3,Pickering,皮克林（姓）,
3,fateful,adj. 重要的；决定性的；命中注定的,
2,whistle,vi. 吹口哨；发出汽笛声,n. 口哨声；汽笛声
2,garment,n. （一件）衣服（外套、裙子、袍等）；(pl) 服装,
2,woollen,adj. 毛纺的；纯毛的（<美> woolen）,
2,hesitate,vi. 犹豫；踌躇,
2,uncomfortable,adj. 不舒服的；不安的；不自在的,
2,uncomfortably,adv. 不舒服地；不自在地,
2,troublesome,adj. 带来麻烦的；使人心烦的,
2,wallet,n. 皮夹；钱包,
2,outcome,n. 结果；效果,
2,thief,n. 小偷；贼,
2,handkerchief,n. 手帕；手绢；纸巾,
3,disguise,vt. 伪装；假扮；遮掩,n. 伪装
3,in disguise,伪装（的）；假扮（的）,
2,mistaken,adj. （见解或判断上）错误的；不正确的,
2,brilliant,adj. 光辉灿烂的；杰出的；才华横溢的,
1,classify,vt.  把……分类；把……归类,
1,remark,n. 谈论；言论；评述,vt. & vi. 谈论；评论；说起
2,betray,vt. 显露出（本来面目）；背叛,
2,upper,adj. （位置或地位）较高的；级别较高的,
2,extraordinary,adj. 不同寻常的；非凡的,
1,condemn,vt. 谴责；使……处于不幸（不愉快）的状态,
3,gutter,n. 排水沟；阴沟；贫民区,
2,properly,adv. 适当地；恰当地,
2,pass ... off as ...,（把某人）改变或冒充成……,
3,duchess,n. 公爵夫人；女公爵,
2,ambassador,n. 大使；使节,
2,acquaintance,n. 相识；了解；熟人,
1,make one's acquaintance,结识；与……相见,
2,handful,n. 一把；少量,
3,amazement,n. 惊讶；惊愕,
3,in amazement,震惊；惊讶,
2,fortune,n. 机会；运气；大笔的钱,
2,authentic,adj. 真实的；真正的；可信的；可靠的,
1,generally speaking,一般来说,
2,status,n. 身份；地位；职位,
2,superior,adj. 优秀的；较高的；上级的,n. 上级；长官
1,in terms of ...,就……来说；从……角度,
3,disapprove,vt. & vi. 不赞成；反对；认为不好,
2,rob,vt.  抢劫；盗窃；剥夺,
2,antique,adj. 古时的；（因古老、稀少而）珍贵的,n. 文物；古董；古玩
2,musical,adj. 音乐的；喜爱音乐的,n. 音乐喜剧
2,stocking,n. 长袜,
3,believer,n. 信徒；教徒,
2,Buddhism,n. 佛教,
3,Buddhist,n. 佛教徒,adj. 佛教的
3,Buddha,n. 佛,
3,vowel,n. 元音；元音字母,
3,Pearce,皮尔斯（姓）,
2,cookie,n. 饼干,
2,teapot,n. 茶壶,
2,cream,n. 奶油；面霜,
2,nail,n. 指甲；钉子,
1,show ... in,带或领……进来,
2,wax,n. 蜡；蜜蜡,vt. 上蜡
2,disk,n. 磁盘,
3,wax disk,旧式唱片,
2,shabby,adj. 破旧的；寒酸的,
3,curtsy,vi. (also curtsey) 行屈膝礼,n. （女子行的）屈膝礼
3,shilling,n. 先令（1971年以前的英国货币单位，旧币的12便士）,
2,referee,n. 裁判员；仲裁者,
1,compromise,n. & vi. 妥协；折衷,
2,horrible,adj. 可怕的；恐怖的,
2,laundry,n. 洗衣店；洗衣房；（待洗或洗好的）衣服,
2,bathtub,n. 浴缸；澡盆,
2,sob,vi. 啜泣；抽噎,n. 啜泣（声）；抽噎（声）
2,waist,n. 腰；腰部；腰围,
2,vest,n. 背心；内衣,
2,disgusting,adj. 使人反感的；令人厌恶的,
1,once more,再一次,
1,in need of,需要……,
3,heartily,adv. 尽情地；热心地；痛快地,
1,overlook,vt. 俯视；忽视；不理会,
2,alphabet,n. 字母表,
3,effective,adj. 有效的,
1,fade,vi. & vt. （使）褪色；减弱；逐渐消失,
1,fade out,（声音、画面）逐渐模糊；渐淡,
