level,english-word,chinese-translation,chinese-translation,chinese-translation
2,ancient,adj. 古代的; 古老的,,
1,compete,vi. 比赛; 竞争,,
2,competitor,n. 竞争者,,
1,take part in,参加; 参与,,
2,medal,n. 奖章; 勋章; 纪念章,,
1,stand for,代表; 象征; 表示,,
3,mascot,n. 吉祥物,,
3,Pausanias,帕萨尼亚斯(男名; 古希腊人名),,
2,Greece,n. 希腊,,
2,Greek,adj. 希腊(人)的; 希腊语的,n. 希腊人; 希腊语,
2,magical,adj. 巫术的; 魔术的; 有魔力的;,,
2,volunteer,n. 志愿者; 志愿兵,adj. 志愿的; 义务的,vt. & vi. 自愿
2,homeland,n. 祖国; 本国,,
2,regular,adj. 规则的; 定期的; 常规的,,
2,basis,n. (pl bases) 基础; 根据,,
2,athlete,n. 运动员; 运动选手,,
1,admit,vt. & vi. 容许; 承认; 接纳,,
2,slave,n. 奴隶,,
2,nowadays,adv. 现今; 现在,,
2,gymnastics,n. (pl) 体操; 体能训练,,
3,athletics,n. (pl) 体育运动; 竞技,,
2,stadium,n. (露天大型)体育场 (pl stadiums or stadia),,
2,gymnasium(gym),n. 体育馆; 健身房,,
1,as well,也; 又; 还,,
1,host,vt. 做东; 主办; 招待,n. 主人,
2,responsibility,n. 责任; 职责,,
3,olive,n. 橄榄树; 橄榄叶; 橄榄枝; 橄榄色,,
3,wreath,n. 花圈; 花冠; 圈状物,,
1,replace,vt. 取代; 替换; 代替,,
2,motto,n. 座右铭; 格言; 警句,,
2,swift,adj. 快的; 迅速的,,
3,similarity,n. 相像性; 相似点,,
3,Athens,n. 雅典(希腊首都),,
1,charge,vt. & vi. 收费; 控诉,n. 费用; 主管,
1,in charge,主管; 看管,,
2,physical,adj. 物理的; 身体的,,
2,fine,vt. 罚款,,
2,poster,n. 海报; 招贴,,
1,advertise,vt. & vi. 做广告; 登广告,,
3,Atalanta,n. 阿塔兰忒(希腊神话人物),,
3,princess,n. 公主,,
2,glory,n. 光荣; 荣誉,,
1,bargain,vi. 讨价还价; 讲条件,n. 便宜货,
3,princess,n. 王子,,
2,hopeless,adj. 没有希望的; 绝望的,,
3,Hippomenes,n. 希波墨涅斯(男名; 古希腊人名),,
2,foolish,adj. 愚蠢的; 傻的,,
3,goddess,n. 女神,,
2,pain,n. 疼痛; 痛苦,,
1,one after another,陆续地; 一个接一个地,,
1,deserve,vi. & vt. 应受(报答或惩罚); 值得,,
3,striker,n. 敲击者; (足球的)前锋,,
