level,english-word,chinese-translation,chinese-translation,chinese-translation
3,realistic,adj. 现实主义的; 逼真的; 现实的,,
2,abstract,adj. 抽象的; 深奥的,n. 摘要,
2,sculpture,n. 雕塑,,
3,sculptor,n. 雕刻家; 雕塑家,,
2,gallery,n. 美术陈列室; 画廊,,
2,faith,n. 信任; 信心; 信念,,
2,faithfully,adv. 忠实地,,
3,consequently,adv. 所以; 因而,,
1,aim,n. 目标; 目的,vi. & vt. 瞄准; (向某方向)努力,
2,conventional,adj. 常规的; 传统的; 因循守旧的,,
1,typical,adj. 典型的; 有代表性的,,
2,evident,adj. 明显的; 明白的,,
3,Giotto di Bondone,乔托(意大利画家、雕刻家、建筑师),,
3,renaissance,n. 新生; 复兴; 复活,,
3,the Renaissance,文艺复兴(时期),,
1,adopt,vt. 采用; 采纳; 收养,,
3,humanistic,adj. 人道主义的,,
1,possess,vt. 拥有; 具有; 支配,,
2,possession,n. (尤作复数)所有; 财产,,
2,superb,adj. 卓越的; 杰出的; 极好的,,
3,perspective,n. 透视画法; 透视图; 观点,,
2,technique,n. 技术; 方法; 技能,,
3,Masaccio,马萨乔(意大利画家),,
2,coincidence,n. 巧合(的事); (事情、口味、故事等)相合,,
2,by coincidence,巧合地,,
3,masterpiece,n. 杰作; 名著,,
3,impressionism,n. 印象主义; 印象派,,
3,impressionist,adj. 印象派的,n. 印象派艺术家,
3,post-impressionist,adj. 后印象派的,n. 后印象派艺术家,
1,a great deal,大量,,
2,shadow,n. 阴影; 影子,,
2,ridiculous,adj. 荒谬的; 可笑的,,
2,controversial,adj. 争论的; 争议的,,
1,attempt,n. 努力; 尝试; 企图,vt. 尝试; 企图,
1,on the other hand,(可是)另一方面,,
1,predict,vt. 预言; 预告; 预测,,
3,landscape,n. 风景; 景色,,
1,specific,adj. 确切的; 特定的,,
2,figure,n. 画像; 身材; 数字,,
2,clay,n. 黏土,,
3,critic,n. 评论家; 批评者,,
3,bronze,n. 青铜; 青铜色; 青铜制艺术品,,
2,marble,n. 大理石,,
3,Mona Lisa,蒙娜•丽莎(达•芬奇所作的一副著名的肖像画),,
3,Leonardo da Vinci,列奥维多•达•芬奇(意大利著名画家),,
2,carve,vt. 雕刻; 刻记,,
2,delicate,adj. 脆弱的; 容易生病的; 精致的,,
3,Michelangelo,米开朗琪罗(意大利文艺复兴雕刻家、画家、建筑师和诗人),,
3,canvas,n. 帆布; 画布,,
3,Picasso,毕加索(西班牙画家),,
2,café,n. 咖啡馆; 小餐馆,,
2,allergic,adj. 过敏性的; 过敏的,,
3,effectively,adv. 有效地,,
2,exhibition,n. 展览; 陈列; 展览会,,
2,aggressive,adj. 敢做敢为的; 侵略的; 好斗的,,
2,scholar,n. 学者,,
2,flesh,n. 肉; 肌肉; 肉体,,
2,in the flesh,活着的; 本人,,
3,Matisse,马蒂斯(法国画家),,
2,geometry,n. 几何学,,
2,bunch,n. 束; 串,,
3,Manhattan,n. 曼哈顿岛; 曼哈顿区(纽约市中心),,
2,avenue,n. 林荫道; 道路; 大街,,
2,preference,n. 喜爱; 偏爱,,
3,Guggenheim Museum,古根海姆博物馆,,
3,display,vt. 展示; 陈列; 显露,,
1,appeal,vi. 有感染力的; 呼吁; 求助,vt. 将……上诉,n. 呼吁; 恳求
1,appeal to,(对某人)有吸引力; (使某人)感兴趣,,
2,fragile,adj. 精细的; 易碎的; 脆弱的,,
3,circular,adj. 圆形的; 环形的; 循环的,,
3,metropolitan,adj. 主要都市的; 大城市的,,
2,reputation,n. 名声; 名誉,,
2,civilization,n. 文明; 文化; 文明社会,,
2,Egypt,n. 埃及(东北非国家),,
2,Egyptian,adj. 埃及的; 埃及人的,,
2,visual,adj. 视觉的; 看得见的,,
2,fragrant,adj. 香的; 令人愉快的,,
3,Monet,莫奈(法国画家),,
3,Whitney,惠特尼,,
3,Madison,n. 麦迪逊,,
2,contemporary,adj. 当代的; 同时代的,,
2,permanent,adj. 永久的; 持久的,,
2,district,n. 区; 区域; 行政区,,
2,committee,n. 委员会,,
2,signature,n. 署名; 签字,,
