level,english-word,chinese-translation,chinese-translation
2,diagram,n. 图解；图表；示意图,
2,volcano,n. 火山,
3,volcanic,adj. 火山的,
3,volcanology,n. 火山学,
3,volcanologist,n. 火山学家,
2,erupt,vi. (指火山)爆发；突然发生,
2,eruption,n. 火山爆发；(战争等)爆发,
2,ash,n. 灰；灰末,
3,crater,n. 火山口；弹坑,
3,lava,n. (火山喷出的)熔岩；火山岩,
2,hurricane,n. 飓风；风暴,
2,questionnaire,n. 问卷；调查卷,
1,alongside,adv. 在旁边；沿着边,prep. 在……旁边；沿着……的边
2,equipment,n. 设备；装备,
1,appoint,vt. 任命；委派,
3,observatory,n. 观象台；天文台；气象台,
2,database,n. 数据库；资料库,
3,Mount Kilauea,基拉韦厄火山,
2,evaluate,vt. 评估；评价；估计,
2,burn to the ground,全部焚毁,
1,wave,n. 波浪；波涛,vi. 波动；起伏；挥手
3,molten,adj. 熔化的；熔融的,
2,fountain,vi. & vt. 泉水般地喷出或涌出,n. 喷泉；源泉
1,absolute,adj.  绝对的；完全的,
1,absolutely,adv. 绝对地；完全地,
3,spaceman,n. 宇航员；航天专家,
1,suit,n. 一套外衣；套装,vt. 适合；使适宜
2,helmet,n. 头盔,
2,boot,n. 靴子,
1,make one's way,前往,
1,potential,n. 潜在性；可能性；潜能,adj. 可能的；潜在的 
1,actual,adj. 实在的；实际的,
3,geology,n. 地质学,
3,Mount Etna,埃特纳火山（意大利西西里岛东北部）,
3,Sicily,西西里岛（意大利南部）,
3,sample,n. 样品；样本,
2,candidate,n. 候选人；候补者,
3,Mount Vesuvius,维苏威火山,
3,threat,n. 恐吓；威胁,
2,bungalow,n. 平房；小屋,
3,Pompeii,庞培（意大利古都）,
3,tornado,n. 龙卷风；旋风,
2,typhoon,n. 台风,
2,thunderstorm,n. 雷暴,
2,precious,adj. 贵重的；珍贵的,
2,novelist,n. 小说家,
2,fog,n. 雾,
2,document,n. 文件；证件,
2,rainbow,n. 彩虹,
2,uncomfortable,adj. 不舒服的；不舒适的,
2,balcony,n. 阳台,
2,unconscious,adj. 失去知觉的；未察觉的,
1,shoot,"(shot, shot) vt. 射中；射伤",
2,shot,n. 射击；枪炮声,
2,tremble,vi. 摇晃；摇动；颤抖,
2,sweat,n. 汗,vi. 出汗
1,anxious,adj. 忧虑的；不安的  ,
1,anxiety,n. 担心；焦虑；渴望,
1,panic,vi. & vt. 惊慌,n. 惊慌；恐慌
3,tsunami,n. 海啸；地震海啸,
1,glance through,匆匆看一遍,
3,Manchu,adj. 满族的,n. 满人
1,vary from … to …,由……到……不等,
2,diverse,adj. 多种多样的；不同的,
3,diversity,n. 多种多样；多样性,
3,crane,n. 鹤；吊车；起重机,
3,leopard,n. 豹,
3,spectacular,adj. 引人入胜的；壮观的,
2,bathe,vi. 洗澡；游泳,
3,arouse,vt. 激发；唤醒,
2,appreciation,vt. 欣赏；感激；感谢,
3,peak,n. 山顶；顶峰,
3,persuasion,n. 信服；说服,
1,guarantee,vt. 保证；担保,
