level,english-word,chinese-translation,chinese-translation
2,earthquake,n. 地震,
2,quake,n. 震动; 地震,
1,right away,立刻; 马上,
2,well,n. 井,
3,crack,n. 裂缝; 噼啪声,vt. & vi. (使)开裂; 破裂
3,smelly,adj. 发臭的; 有臭味的,n. 农场; 农家
3,farmyard,n. 农场; 农家,
2,pipe,n. 管; 导管,
1,burst,"vi. (burst, burst)爆裂; 爆发",n. 突然破裂; 爆发
2,million,n. 百万,
2,event,n. 事件; 大事,
2,as if,仿佛; 好像,
1,at an end,结束; 终结,
1,nation,n. 民族; 国家; 国民,
2,canal,n. 运河; 水道,
2,steam,n. 蒸汽; 水汽,
2,dirt,n. 污垢; 泥土,
1,ruin,n. 废墟; 毁灭,vt. 毁灭; 使破产
1,in ruins,严重受损; 破败不堪,
2,suffering,n. 苦难; 痛苦,
2,extreme,adj. 极度的,
1,injure,vt. 损害; 伤害,
3,survivor,n. 幸存者; 生还者; 残存物,
1,destroy,vt. 破坏; 毁坏; 消灭,
2,brick,n. 砖; 砖块,
2,dam,n. 水坝; 堰堤,
2,track,n. 轨道; 足迹; 痕迹,
2,useless,adj. 无用的; 无效的; 无益的,
1,shock,vt. & vi. (使)震惊; 震动,n. 休克; 打击; 震惊
1,rescue,n. & vt. 援救; 营救,
1,trap,vt. 使陷入困境,n. 陷阱; 困境
2,electricity,n. 电; 电流; 电学,
2,disaster,n. 灾难; 灾祸,
1,dig out,掘出; 发现,
1,bury,vt. 埋葬; 掩埋; 隐藏,
2,mine,n. 矿; 矿山; 矿井,
2,miner,n. 矿工,
2,shelter,n. 掩蔽; 掩蔽处; 避身处,
1,a (great) number of,许多; 大量的,
2,title,n. 标题; 头衔; 资格,
2,reporter,n. 记者,
2,bar,n. 条; 棒; 条状物,
2,damage,n. & vt. 损失; 损害,
2,frighten,vt. 使惊吓; 吓唬,
2,frightened,adj. 受惊的; 受恐吓的,
2,frightening,adj. 令人恐惧的,
2,congratulation,n. 祝贺; (复数)贺词,
2,judge,n. 裁判员; 法官,vt. 断定; 判断; 判决
2,sincerely,adv. 真诚地; 真挚地,
2,express,vt. 表示; 表达,n. 快车; 速递
2,outline,n. 要点; 大纲; 轮廓,
2,headline,n. 报刊的大字标题,
2,cyclist,n. 骑自行车的人,
