level,english-word,chinese-translation,chinese-translation
2,achievement,n. 成就; 功绩,
3,Joan of Arc,圣女贞德(法国民族女英雄),
3,Elizabeth Fry,伊丽莎白•弗赖伊(英国慈善家),
3,Quaker,n. 教友派信徒; 贵格会会员,
2,welfare,n. 福利; 福利事业,
2,project,n. 项目; 工程; 规划,
2,institute,n. 学会; 学院; 协会,
3,China Welfare Institute,中国福利基金会,
2,specialist,n. 专家; 专业工作者,
3,specialize,vi. 专攻; 专门从事; 专注于,
3,Jane Goodall,简•古道尔(英国动物学家),
3,chimp,n. (非洲)黑猩猩,
2,connection,n. 连接; 关系,
1,human being,人,
3,Jody Williams,乔迪•威廉斯(美国诺贝尔和平奖获得者),
1,campaign,n. 运动; 战役,vi. 作战; 参加运动
3,landmine,n. 地雷,
2,organization,n. 组织; 机构; 团体,
3,Gombe National Park,贡贝国家公园(位于坦桑尼亚),
1,behave,vt. & vi. 举动; (举止或行为)表现,
2,behaviour,n. (=behavior) 行为; 举止; 习性,
1,shade,n. 荫; 阴凉处,vt. 遮住光线
1,move off,离开; 起程; 出发,
2,worthwhile,adj. 值得的; 值得做的,
2,nest,n. 巢; 窝,
2,bond,n. 联系; 关系; 结合; 纽带,
1,observe,vt. 观察; 观测; 遵守,
2,observation,n. 观察; 观测,
2,childhood,n. 童年; 幼年时代,
2,outspoken,adj. 直言的; 坦诚,
1,respect,vt. & n. 尊敬; 尊重; 敬意,
1,argue,vt. & vi. 讨论; 辩论; 争论,
2,argument,n. 争论; 争辩; 争吵,
2,entertainment,n. 款待; 娱乐; 娱乐表演,
1,lead a … life,过着……的生活,
1,crowd,n. 人群; 群众,vt. 挤满; 使拥挤
1,crowd in ,(想法、问题等)涌上心头; 涌入脑海,
2,inspire,vt. 鼓舞; 激发; 启示,
3,inspiration,n. 灵感; 鼓舞,
1,support,n. & vt. 支持; 拥护,
1,look down upon/on,蔑视; 瞧不起,
1,refer,vi. 谈到; 查阅; 参考,
1,refer to,查阅; 参考; 谈到,
2,audience,n. 观众; 听众; 读者,
1,by chance,碰巧; 凑巧,
1,come across,(偶然)遇见; 碰见,
3,career,n. 事业; 生涯,
2,rate,n. 比率; 速度,
2,sickness,n. 疾病; 恶心,
1,intend,vt. 计划; 打算,
2,emergency,n. 突发事件; 紧急情况,
2,generation,n. 一代; 一辈,
3,determination,n. 决心; 果断,
2,kindness,n. 仁慈; 好意,
2,considerate,adj. 考虑周到的,
2,consideration,n. 考虑; 体谅,
1,deliver,vt. 递送; 生(小孩儿); 接生; 发表(演说等),
1,carry on,继续; 坚持,
2,modest,adj. 谦虚的; 谦让的; 适度的,
