level,english-word,chinese-translation,chinese-translation
3,Nelson Mandela,纳尔逊•曼德拉(前南非共和国总统),
1,quality,n. 质量; 品质; 性质,
3,warm-hearted,adj. 热心肠的,
2,mean,adj. 吝啬的; 自私的; 卑鄙的,
1,active,adj. 积极的; 活跃的,
2,generous,adj. 慷慨的; 大方的,
3,easy-going,adj. 随和的; 温和宽容的,
2,self,n. 自我; 自身,
2,selfish,adj. 自私的,
2,selfless,adj. 无私的; 忘我的,
2,selflessly,adv. 无私地; 忘我地,
1,devote,vt. (与 to 连用) 献身; 专心于,
2,devoted,adj. 忠实的; 深爱的,
3,William Tyndale,威廉•廷代尔(英国早期新教改革者),
3,Bible,n. 《圣经》,
3,Norman Bethune,诺曼•白求恩(加拿大胸外科医师),
3,invader,n. 侵略者,
2,found,vt. 建立; 建设,
2,republic,n. 共和国; 共和政体,
2,principle,n. 法则; 原则; 原理,
3,nationalism,n. 民族注意; 国家主义,
3,livelihood,n. 生机; 谋生,
3,Mohandas Gandhi,莫罕达斯•甘地(印度国民大会党领袖),
2,peaceful,adj. 和平的; 平静的; 安宁的,
3,giant,adj. 巨大的; 庞大的,
3,leap,n. 飞跃; 跳跃,
2,mankind,n. 人类,
3,Elias,n. 伊莱亚斯(男名),
2,lawyer,n. 律师,
2,guidance,n. 指导; 领导,
2,legal,adj. 法律的; 按照法律的,
2,fee,n. 费(会费、学费等); 酬金,
3,passbook,n. 南非共和国有色人种的身份证,
3,Johannesburg,n. 约翰内斯堡(南非城市),
1,out of work,失业,
2,hopeful,adj. 怀有希望的; 有希望的,
3,ANC,非国大; 非洲人国民大会; 非洲民族会议(African National Congress),
2,youth,n. 青年; 青年时期,
2,league,n. 同盟; 联盟; 联合会,
2,Youth League,青年团,
2,stage,n. 舞台; 阶段; 时期,
1,vote,vt. & vi. 投票; 选举,n. 投票; 选票; 表决
1,attack,vt. 进攻; 攻击; 抨击,
2,violence,n. 暴力; 暴行,
1,as a matter of fact,事实上,
2,blow up,使充气; 爆炸,
1,equal,adj. 相等的; 平等的,
1,in trouble,在危险、受罚、痛苦、忧虑等的处境中,
2,willing,adj. 乐意的; 自愿的,
2,unfair,adj. 不公正的; 不公平的,
1,turn to,求助于; 致力于,
3,quote,n. 引用语; 语录,
3,release,vt. 释放; 发行,
1,lose heart,丧失勇气或信心,
3,Robben Island,罗本岛,
2,escape,vi. & vt. 逃脱; 逃走; 避开,
2,blanket,n. 毛毯; 毯子,
1,educate,vt. 教育; 训练,
2,educated,adj. 受过教育的; 有教养的,
1,come to power,当权; 上台,
1,beg,vi. 请求; 乞求,
2,relative,n. 亲戚; 亲属,
2,terror,n. 恐怖; 可怕的人; 恐怖时期; 恐怖活动,
2,cruelty,n. 残忍; 残酷,
1,reward,n. 报酬; 奖金,vt. 酬劳; 奖赏
3,Transkei,n. 特兰斯凯(南非东南部一地区),
1,set up,设立; 建立,
2,sentence,vt. 判决; 宣判,
1,be sentenced to,被判处……(徒刑),
2,anti-[前缀],反; 抗; 阻,
2,anti-black,adj. 反黑人的,
3,Cape Town,开普敦(南非立法首都),
2,president,n. 总统; 会长; 校长; 行长,
3,Nobel Peace Prize,诺贝尔和平奖,
1,opinion,n. 意见; 看法; 主张,
